WARNING  : Скважина 5755/1 (id - 6520) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 21488/1 (id - 69786) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32266/1 (id - 61676) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20648/1 (id - 48194) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20118/1 (id - 61894) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20976/1 (id - 6646) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20532/1 (id - 68568) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 21250/1 (id - 73027) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20786/1 (id - 84422) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 21602/1 (id - 54471) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32640/1 (id - 60232) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 21641/1 (id - 83770) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 3159/1 (id - 48264) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32339/1 (id - 84222) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20707/1 (id - 80970) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 21661/1 (id - 6633) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20617/1 (id - 60056) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 26844/1 (id - 59931) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32334/1 (id - 6447) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20965/1 (id - 70205) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 12233/1 (id - 55893) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20512/1 (id - 6409) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32420/1 (id - 70849) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 21163/1 (id - 6412) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20727/1 (id - 64023) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32036/1 (id - 84303) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20959/1 (id - 80496) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32793/1 (id - 62564) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 21161/1 (id - 83762) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 3472д/2 (id - 1424) из РИГИС сопоставилась с перфорациями по названию, нгду и площади без учета ствола
WARNING  : Скважина 32485/2 (id - 6000) из РИГИС сопоставилась с перфорациями по названию, нгду и площади без учета ствола
WARNING  : Скважина 32400/1 (id - 6589) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32215/1 (id - 64290) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 84д/1 (id - 62014) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20477/1 (id - 64545) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32046/1 (id - 73603) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20876/1 (id - 47808) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 15756д/1 (id - 71281) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20404/1 (id - 81485) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 14924/1 (id - 57262) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 169д/1 (id - 69651) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 2269д/1 (id - 72939) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
